repo,analyzer_id,analyzer_version,severity,file,line,message,evidence_kind,matches_count,context,label,note
click,risk.error-masking,2,warn,src/click/_compat.py,77,except clause swallows errors (broad-except),broad-except,,    def __del__(self) -> None: ⏎         try: ⏎             self.detach() ⏎         except Exception: ⏎             pass ⏎  ⏎     def isatty(self) -> bool: ⏎         # https://bitbucket.org/pypy/pypy/issue/1803,style,__del__ finalizer conventionally suppresses
click,risk.error-masking,2,warn,src/click/_compat.py,170,except clause swallows errors (broad-except),broad-except,,"        try: ⏎             stream.write("""") ⏎             return False ⏎         except Exception: ⏎             pass ⏎         return default ⏎     return True ⏎ ",style,"stream write probe, broad but scoped"
click,risk.error-masking,2,warn,src/click/_compat.py,568,except clause swallows errors (broad-except),broad-except,,        rv = wrapper_func() ⏎         try: ⏎             cache[stream] = rv ⏎         except Exception: ⏎             pass ⏎         return rv ⏎  ⏎     return func,tp,"cache set silently disabled, no note"
click,risk.error-masking,2,warn,src/click/_winconsole.py,204,except clause swallows errors (broad-except),broad-except,,"            return self._text_stream.write(x) ⏎         try: ⏎             self.flush() ⏎         except Exception: ⏎             pass ⏎         return self.buffer.write(x) ⏎  ⏎     def writelines(self, lines: cabc.Iterable[t.AnyStr]) -> None:",tp,flush() error silently dropped
click,risk.error-masking,2,warn,src/click/testing.py,571,except clause swallows errors (broad-except),broad-except,,"                if value is None: ⏎                     try: ⏎                         del os.environ[key] ⏎                     except Exception: ⏎                         pass ⏎                 else: ⏎                     os.environ[key] = value ⏎             yield (stream_mixer.stdout, stream_mixer.stderr, stream_mixer.output)",style,"env cleanup broad exception, test scope"
click,risk.error-masking,2,warn,src/click/testing.py,581,except clause swallows errors (broad-except),broad-except,,                if value is None: ⏎                     try: ⏎                         del os.environ[key] ⏎                     except Exception: ⏎                         pass ⏎                 else: ⏎                     os.environ[key] = value ⏎             sys.stdout = old_stdout,style,"env cleanup broad exception, test scope"
click,risk.error-masking,2,warn,src/click/utils.py,45,except clause swallows errors (broad-except),broad-except,,"    def wrapper(*args: P.args, **kwargs: P.kwargs) -> R | None: ⏎         try: ⏎             return func(*args, **kwargs) ⏎         except Exception: ⏎             pass ⏎         return None ⏎  ⏎     return update_wrapper(wrapper, func)",tp,"wrapper returns None on any error, silent"
pytest,risk.error-masking,2,warn,src/_pytest/_code/code.py,333,except clause swallows errors (broad-except),broad-except,,"            # as such, we suppress all exceptions while accessing __tracebackhide__ ⏎             try: ⏎                 tbh = maybe_ns_dct[""__tracebackhide__""] ⏎             except Exception: ⏎                 pass ⏎             else: ⏎                 break ⏎         if tbh and callable(tbh):",boilerplate,adjacent comment explains intent
pytest,risk.error-masking,2,warn,src/_pytest/_code/source.py,251,except clause swallows errors (broad-except),broad-except,,"                block_finder.tokeneater(*tok) ⏎         except (inspect.EndOfBlock, IndentationError): ⏎             end = block_finder.last + start ⏎         except Exception: ⏎             pass ⏎  ⏎     # The end might still point to a comment or empty line, correct it. ⏎     end = min(end, len(source.lines))",style,source parsing catch-all fallback
pytest,risk.error-masking,2,warn,src/_pytest/config/__init__.py,542,except clause swallows errors (broad-except),broad-except,,"                    buffering=1, ⏎                     encoding=encoding, ⏎                 ) ⏎             except Exception: ⏎                 pass ⏎             self.trace.root.setwriter(err.write) ⏎             self.enable_tracing() ⏎ ",tp,"open fails silently, next line uses undefined err (latent bug)"
pytest,risk.error-masking,2,warn,src/_pytest/pathlib.py,264,except clause swallows errors (broad-except),broad-except,,"        pass ⏎     try: ⏎         current_symlink.symlink_to(link_to) ⏎     except Exception: ⏎         pass ⏎  ⏎  ⏎ def make_numbered_dir(root: Path, prefix: str, mode: int = 0o700) -> Path:",tp,symlink error silently dropped
pytest,risk.error-masking,2,warn,src/_pytest/pathlib.py,277,except clause swallows errors (broad-except),broad-except,,"        new_path = root.joinpath(f""{prefix}{new_number}"") ⏎         try: ⏎             new_path.mkdir(mode=mode) ⏎         except Exception: ⏎             pass ⏎         else: ⏎             _force_symlink(root, prefix + ""current"", new_path) ⏎             return new_path",tp,mkdir error silently dropped
poetry,risk.error-masking,2,warn,src/poetry/mixology/version_solver.py,613,except clause swallows errors (broad-except),broad-except,,"                                package.version, ⏎                                 repository_name=repo, ⏎                             ) ⏎                         except Exception: ⏎                             pass ⏎                         else: ⏎                             break ⏎ ",tp,solver retry broad exception
aiohttp,risk.error-masking,2,warn,aiohttp/worker.py,137,except clause swallows errors (broad-except),broad-except,,"                    self.log.info(""Parent changed, shutting down: %s"", self) ⏎                 else: ⏎                     await self._wait_next_notify() ⏎         except Exception: ⏎             pass ⏎  ⏎         await runner.cleanup() ⏎ ",style,"worker main loop broad catch, common pattern"
